year,avg_temp,7Y_riyadh_ma,,,year,avg_temp,7Y_global_ma
1843,24.74,,,,1843,8.17,
1844,15.45,,,,1844,7.65,
1845,20.82,,,,1845,7.85,
1846,,,,,1846,8.55,
1847,,,,,1847,8.09,
1848,24.56,,,,1848,7.98,
1849,24.8,22.074,,,1849,7.98,8.038571429
1850,24.34,21.994,,,1850,7.9,8
1851,25.03,23.91,,,1851,8.18,8.075714286
1852,24.85,24.716,,,1852,8.1,8.111428571
1853,24.93,24.75166667,,,1853,8.04,8.038571429
1854,24.72,24.74714286,,,1854,8.21,8.055714286
1855,24.92,24.79857143,,,1855,8.11,8.074285714
1856,24.57,24.76571429,,,1856,8,8.077142857
1857,24.26,24.75428571,,,1857,7.76,8.057142857
1858,25.01,24.75142857,,,1858,8.1,8.045714286
1859,24.95,24.76571429,,,1859,8.25,8.067142857
1860,24.94,24.76714286,,,1860,7.96,8.055714286
1861,24.13,24.68285714,,,1861,7.85,8.004285714
1862,23.77,24.51857143,,,1862,7.56,7.925714286
1863,24.28,24.47714286,,,1863,8.11,7.941428571
1864,25.03,24.58714286,,,1864,7.98,7.972857143
1865,25.23,24.61857143,,,1865,8.18,7.984285714
1866,24.92,24.61428571,,,1866,8.29,7.99
1867,25.22,24.65428571,,,1867,8.44,8.058571429
1868,25,24.77857143,,,1868,8.25,8.115714286
1869,25.3,24.99714286,,,1869,8.43,8.24
1870,25.02,25.10285714,,,1870,8.2,8.252857143
1871,24.73,25.06,,,1871,8.12,8.272857143
1872,24.87,25.00857143,,,1872,8.19,8.274285714
1873,25.24,25.05428571,,,1873,8.35,8.282857143
1874,24.98,25.02,,,1874,8.43,8.281428571
1875,24.43,24.93857143,,,1875,7.86,8.225714286
1876,24.89,24.88,,,1876,8.08,8.175714286
1877,25.47,24.94428571,,,1877,8.54,8.224285714
1878,25.51,25.05571429,,,1878,8.83,8.325714286
1879,25.24,25.10857143,,,1879,8.17,8.322857143
1880,24.8,25.04571429,,,1880,8.12,8.29
1881,25.63,25.13857143,,,1881,8.27,8.267142857
1882,24.66,25.17142857,,,1882,8.13,8.305714286
1883,25.19,25.21428571,,,1883,7.98,8.291428571
1884,24.8,25.11857143,,,1884,7.77,8.181428571
1885,24.98,25.04285714,,,1885,7.92,8.051428571
1886,24.98,25.00571429,,,1886,7.95,8.02
1887,24.81,25.00714286,,,1887,7.91,7.99
1888,25.13,24.93571429,,,1888,8.09,7.964285714
1889,25.52,25.05857143,,,1889,8.32,7.991428571
1890,25.07,25.04142857,,,1890,7.97,7.99
1891,25.39,25.12571429,,,1891,8.02,8.025714286
1892,25.22,25.16,,,1892,8.07,8.047142857
1893,25.19,25.19,,,1893,8.06,8.062857143
1894,24.66,25.16857143,,,1894,8.16,8.098571429
1895,24.69,25.10571429,,,1895,8.15,8.107142857
1896,24.88,25.01428571,,,1896,8.21,8.091428571
1897,24.86,24.98428571,,,1897,8.29,8.137142857
1898,24.88,24.91142857,,,1898,8.18,8.16
1899,25.12,24.89714286,,,1899,8.4,8.207142857
1900,25.29,24.91142857,,,1900,8.5,8.27
1901,25.55,25.03857143,,,1901,8.54,8.324285714
1902,25.25,25.11857143,,,1902,8.3,8.345714286
1903,24.64,25.08428571,,,1903,8.22,8.347142857
1904,25.07,25.11428571,,,1904,8.09,8.318571429
1905,24.87,25.11285714,,,1905,8.23,8.325714286
1906,24.85,25.07428571,,,1906,8.38,8.322857143
1907,24.44,24.95285714,,,1907,7.95,8.244285714
1908,24.95,24.86714286,,,1908,8.19,8.194285714
1909,25.57,24.91285714,,,1909,8.18,8.177142857
1910,24.75,24.92857143,,,1910,8.22,8.177142857
1911,24.24,24.81,,,1911,8.18,8.19
1912,24.96,24.82285714,,,1912,8.17,8.181428571
1913,24.63,24.79142857,,,1913,8.3,8.17
1914,24.94,24.86285714,,,1914,8.59,8.261428571
1915,25.38,24.92428571,,,1915,8.59,8.318571429
1916,24.85,24.82142857,,,1916,8.23,8.325714286
1917,25.03,24.86142857,,,1917,8.02,8.297142857
1918,24.66,24.92142857,,,1918,8.13,8.29
1919,25.39,24.98285714,,,1919,8.38,8.32
1920,24.94,25.02714286,,,1920,8.36,8.328571429
1921,24.84,25.01285714,,,1921,8.57,8.325714286
1922,25.35,25.00857143,,,1922,8.41,8.3
1923,25.1,25.04428571,,,1923,8.42,8.327142857
1924,25.69,25.13857143,,,1924,8.51,8.397142857
1925,25,25.18714286,,,1925,8.53,8.454285714
1926,25.19,25.15857143,,,1926,8.73,8.504285714
1927,25.29,25.20857143,,,1927,8.52,8.527142857
1928,25.39,25.28714286,,,1928,8.63,8.535714286
1929,25.36,25.28857143,,,1929,8.24,8.511428571
1930,25.39,25.33,,,1930,8.63,8.541428571
1931,25.38,25.28571429,,,1931,8.72,8.571428571
1932,24.96,25.28,,,1932,8.71,8.597142857
1933,24.67,25.20571429,,,1933,8.34,8.541428571
1934,24.97,25.16,,,1934,8.63,8.557142857
1935,25.61,25.19142857,,,1935,8.52,8.541428571
1936,25.15,25.16142857,,,1936,8.55,8.585714286
1937,25.08,25.11714286,,,1937,8.7,8.595714286
1938,25.11,25.07857143,,,1938,8.86,8.615714286
1939,25.16,25.10714286,,,1939,8.76,8.622857143
1940,25.51,25.22714286,,,1940,8.76,8.682857143
1941,25.37,25.28428571,,,1941,8.77,8.702857143
1942,25.49,25.26714286,,,1942,8.73,8.732857143
1943,24.96,25.24,,,1943,8.76,8.762857143
1944,25.6,25.31428571,,,1944,8.85,8.784285714
1945,25.3,25.34142857,,,1945,8.58,8.744285714
1946,25.49,25.38857143,,,1946,8.68,8.732857143
1947,26,25.45857143,,,1947,8.8,8.738571429
1948,24.85,25.38428571,,,1948,8.75,8.735714286
